,Feature,Importance
496,Lansoprazole,28.768408781740042
554,Isordil,18.52597670153037
123,Polyethylene Glycol,8.727072412669568
12,Kidney disease,4.337359588097706
85,Amlodipine,4.228977445864668
185,Avapro,3.3337090760807846
36,reason_for_admission_Fever of unknown origin [R50.9],2.8399702201947985
211,Atacand,2.6457339670791042
227,Allopurinol,2.4857868973318547
24,Hematological,2.0523165493494515
7,Hypertension,1.8642115897303768
0,age,1.7632524371476186
147,Janumet,1.7306413195045123
126,Acetaminophen Tab,1.7012729833371247
22,Chronic renal,1.5317555818308926
188,Ezetrol,1.3279625544868194
257,Cipralex,1.0940094783530614
275,Calcitriol,1.0672823609008306
186,Aspirin Tablets,1.0511527471094613
16,Dementia [any etiology],0.9812574607073301
19,Stroke,0.8654677200314626
324,Tylenol W Codeine No Tab,0.8465145780674035
1,sex,0.8241073992407747
135,Metoprolol,0.6805766675488116
183,Olmetec,0.6758242290302076
41,reason_for_admission_Pneumonia [J18.9],0.325712928068973
58,Cholecalciferol,0.2904588858612706
130,Eliquis,0.24695754550208832
